clash-verge	2.4.2
cli-common	0.10
cmake	3.22.1-1ubuntu1.22.04.2
cmake-data	3.22.1-1ubuntu1.22.04.2
colord	1.4.6-1
colord-data	1.4.6-1
comerr-dev:arm64	2.1-1.46.5-2ubuntu1.2
console-setup	1.205ubuntu3
console-setup-linux	1.205ubuntu3
containerd.io	1.7.27-1
coreutils	8.32-4.1ubuntu1.2
cpio	2.13+dfsg-7ubuntu0.1
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04.2
cppcheck	2.7-1
cpuset	1.6-4.1
cracklib-runtime	2.9.6-3.4build4
cron	3.0pl1-137ubuntu3
cryptsetup-bin	2:2.4.3-1ubuntu1.3
curl	7.81.0-1ubuntu1.21
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
dbus-user-session	1.12.20-2ubuntu4.1
dbus-x11	1.12.20-2ubuntu4.1
dc	1.07.1-3build1
dconf-cli	0.40.0-3
dconf-gsettings-backend:arm64	0.40.0-3
dconf-service	0.40.0-3
dctrl-tools	2.24-3build2
debconf	1.5.79ubuntu1
debconf-utils	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
default-jdk	2:1.11-72build2
default-jdk-headless	2:1.11-72build2
default-jre	2:1.11-72build2
default-jre-headless	2:1.11-72build2
default-libmysqlclient-dev:arm64	1.0.8
deja-dup	42.9-1ubuntu3
desktop-file-utils	0.26-1ubuntu3
device-tree-compiler	1.6.1-1
devio	1.2-1.2build3
dh-elpa-helper	2.0.9ubuntu1
dictionaries-common	1.28.14
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.4
distro-info	1.1ubuntu0.2
distro-info-data	0.52ubuntu0.9
dmeventd	2:1.02.175-2.1ubuntu5
dmsetup	2:1.02.175-2.1ubuntu5
dmz-cursor-theme	0.4.5ubuntu1
dns-root-data	2024071801~ubuntu0.22.04.1
dnsmasq-base	2.90-0ubuntu0.22.04.1
docbook-xml	4.5-11
docker-buildx-plugin	0.26.1-1~ubuntu.22.04~jammy
docker-ce	5:28.3.3-1~ubuntu.22.04~jammy
docker-ce-cli	5:28.3.3-1~ubuntu.22.04~jammy
docker-ce-rootless-extras	5:28.3.3-1~ubuntu.22.04~jammy
docker-compose-plugin	2.39.1-1~ubuntu.22.04~jammy
docutils-common	0.17.1+dfsg-2
dosfstools	4.2-1build3
dpkg	1.21.1ubuntu2.3
dpkg-dev	1.21.1ubuntu2.3
duplicity	0.8.21-1build1
e2fsprogs	1.46.5-2ubuntu1.2
efibootmgr	17-1ubuntu2
eject	2.37.2-4ubuntu3.4
emacsen-common	3.0.4
enchant-2	2.3.2-1ubuntu2
eog	42.0-1
espeak-ng-data:arm64	1.50+dfsg-10ubuntu0.1
ethtool	1:5.16-1ubuntu0.2
evince	42.3-0ubuntu3.1
evince-common	42.3-0ubuntu3.1
evolution-data-server	3.44.4-0ubuntu1.1
evolution-data-server-common	3.44.4-0ubuntu1.1
fakeroot	1.28-1ubuntu1
fdisk	2.37.2-4ubuntu3.4
file	1:5.41-3ubuntu0.1
file-roller	3.42.0-1
findutils	4.8.0-1ubuntu3
fio	3.28-1
firefox	1:1snap1-0ubuntu2
flash-kernel	3.104ubuntu22
flex	2.6.4-8build2
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-beng	2:1.3
fonts-beng-extra	3.2.1-1
fonts-dejavu-core	2.37-2build1
fonts-dejavu-extra	2.37-2build1
fonts-deva	2:1.3
fonts-deva-extra	3.0-5
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-freefont-ttf	20120503-10build1
fonts-gargi	2.0-5
fonts-gubbi	1.3-5build1
fonts-gujr	2:1.4
fonts-gujr-extra	1.0.1-1
fonts-guru	2:1.3
fonts-guru-extra	2.0-5
fonts-indic	2:1.4
fonts-kacst	2.01+mry-15
fonts-kacst-one	5.0+svn11846-10
fonts-kalapi	1.0-4
fonts-khmeros-core	5.0-9ubuntu1
fonts-knda	2:1.3
fonts-lao	0.0.20060226-10ubuntu2
fonts-liberation	1:1.07.4-11
fonts-liberation2	2.1.5-1
fonts-lklug-sinhala	0.6-4
fonts-lohit-beng-assamese	2.91.5-2
fonts-lohit-beng-bengali	2.91.5-2
fonts-lohit-deva	2.95.4-4
fonts-lohit-gujr	2.92.4-4
fonts-lohit-guru	2.91.2-2build1
fonts-lohit-knda	2.5.4-3
fonts-lohit-mlym	2.92.2-2
fonts-lohit-orya	2.91.2-2
fonts-lohit-taml	2.91.3-2
fonts-lohit-taml-classical	2.5.4-2
fonts-lohit-telu	2.5.5-2build1
fonts-lyx	2.3.6-1
fonts-mlym	2:1.3
fonts-nakula	1.0-4
fonts-navilu	1.2-3
fonts-noto-cjk	1:20220127+repack1-1
fonts-noto-color-emoji	2.047-0ubuntu0.22.04.1
fonts-noto-mono	20201225-1build1
fonts-opensymbol	2:102.12+LibO7.3.7-0ubuntu0.22.04.10
fonts-orya	2:1.3
fonts-orya-extra	2.0-6
fonts-pagul	1.0-8
fonts-sahadeva	1.0-5
fonts-samyak-deva	1.2.2-5build1
fonts-samyak-gujr	1.2.2-5build1
fonts-samyak-mlym	1.2.2-5build1
fonts-samyak-taml	1.2.2-5build1
fonts-sarai	1.0-3
fonts-sil-abyssinica	2.100-3
fonts-sil-padauk	5.000-3
fonts-smc	1:7.2
fonts-smc-anjalioldlipi	7.1.2-2
fonts-smc-chilanka	1.540-1
fonts-smc-dyuthi	3.0.2-2
fonts-smc-gayathri	1.110-2-1
fonts-smc-karumbi	1.1.2-2
fonts-smc-keraleeyam	3.0.2-2
fonts-smc-manjari	2.000-3
fonts-smc-meera	7.0.3-1
fonts-smc-rachana	7.0.2-1build1
fonts-smc-raghumalayalamsans	2.2.1-1
fonts-smc-suruma	3.2.3-1
fonts-smc-uroob	2.0.2-1
fonts-taml	2:1.4
fonts-telu	2:1.3
fonts-telu-extra	2.0-5
fonts-teluguvijayam	2.1-1
fonts-thai-tlwg	1:0.7.3-1
fonts-tibetan-machine	1.901b-6
fonts-tlwg-garuda	1:0.7.3-1
fonts-tlwg-garuda-ttf	1:0.7.3-1
fonts-tlwg-kinnari	1:0.7.3-1
fonts-tlwg-kinnari-ttf	1:0.7.3-1
fonts-tlwg-laksaman	1:0.7.3-1
fonts-tlwg-laksaman-ttf	1:0.7.3-1
fonts-tlwg-loma	1:0.7.3-1
fonts-tlwg-loma-ttf	1:0.7.3-1
fonts-tlwg-mono	1:0.7.3-1
fonts-tlwg-mono-ttf	1:0.7.3-1
fonts-tlwg-norasi	1:0.7.3-1
fonts-tlwg-norasi-ttf	1:0.7.3-1
fonts-tlwg-purisa	1:0.7.3-1
fonts-tlwg-purisa-ttf	1:0.7.3-1
fonts-tlwg-sawasdee	1:0.7.3-1
fonts-tlwg-sawasdee-ttf	1:0.7.3-1
fonts-tlwg-typewriter	1:0.7.3-1
fonts-tlwg-typewriter-ttf	1:0.7.3-1
fonts-tlwg-typist	1:0.7.3-1
fonts-tlwg-typist-ttf	1:0.7.3-1
fonts-tlwg-typo	1:0.7.3-1
fonts-tlwg-typo-ttf	1:0.7.3-1
fonts-tlwg-umpush	1:0.7.3-1
fonts-tlwg-umpush-ttf	1:0.7.3-1
fonts-tlwg-waree	1:0.7.3-1
fonts-tlwg-waree-ttf	1:0.7.3-1
fonts-ubuntu	0.83-6ubuntu1
fonts-urw-base35	20200910-1
fonts-yrsa-rasa	2.005-1
foomatic-db-compressed-ppds	20220223-0ubuntu1
foomatic-filters	4.0.17-13
fprintd	1.94.2-1ubuntu0.22.04.1
freeglut3:arm64	2.8.1-6
fuse3	3.10.5-1build1
fwupd	1.7.9-1~22.04.3
fwupd-signed	1.51.1~22.04.1+1.4-0ubuntu0.1
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04.2
gamemode	1.6.1-1build2
gamemode-daemon	1.6.1-1build2
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04.2
gcc-11-base:arm64	11.4.0-1ubuntu1~22.04.2
gcc-12-base:arm64	12.3.0-1ubuntu1~22.04.2
gcr	3.40.0-4
gdal-data	3.4.1+dfsg-1build4
gdb	12.1-0ubuntu1~22.04.2
gdbserver	12.1-0ubuntu1~22.04.2
gdisk	1.0.8-4build1
gdm3	42.0-1ubuntu7.22.04.4
gedit	41.0-3
gedit-common	41.0-3
geoclue-2.0	2.5.7-3ubuntu3
gettext-base	0.21-4ubuntu4
gfortran	4:11.2.0-1ubuntu1
gfortran-11	11.4.0-1ubuntu1~22.04.2
ghostscript	9.55.0~dfsg1-0ubuntu5.12
ghostscript-x	9.55.0~dfsg1-0ubuntu5.12
gir1.2-accountsservice-1.0:arm64	22.07.5-2ubuntu1.5
gir1.2-adw-1:arm64	1.1.7-0ubuntu0.22.04.1
gir1.2-appindicator3-0.1	12.10.1+20.10.20200706.1-0ubuntu1
gir1.2-atk-1.0:arm64	2.36.0-3build1
gir1.2-atspi-2.0:arm64	2.44.0-3
gir1.2-freedesktop:arm64	1.72.0-1
gir1.2-gck-1:arm64	3.40.0-4
gir1.2-gcr-3:arm64	3.40.0-4
gir1.2-gdesktopenums-3.0:arm64	42.0-1ubuntu1
gir1.2-gdkpixbuf-2.0:arm64	2.42.8+dfsg-1ubuntu0.4
gir1.2-gdm-1.0:arm64	42.0-1ubuntu7.22.04.4
gir1.2-geoclue-2.0:arm64	2.5.7-3ubuntu3
gir1.2-glib-2.0:arm64	1.72.0-1
gir1.2-gmenu-3.0:arm64	3.36.0-1ubuntu3
gir1.2-gnomebluetooth-3.0:arm64	42.0-5
gir1.2-gnomedesktop-3.0:arm64	42.9-0ubuntu1
gir1.2-goa-1.0:arm64	3.44.0-1ubuntu1
gir1.2-graphene-1.0:arm64	1.10.8-1
gir1.2-gst-plugins-bad-1.0:arm64	1.20.3-0ubuntu1.1
gir1.2-gst-plugins-base-1.0:arm64	1.20.1-1ubuntu0.5
gir1.2-gstreamer-1.0:arm64	1.20.3-0ubuntu1.1
gir1.2-gtk-3.0:arm64	3.24.33-1ubuntu2.2
gir1.2-gtk-4.0:arm64	4.6.9+ds-0ubuntu0.22.04.2
gir1.2-gtksource-4:arm64	4.8.3-1
gir1.2-gudev-1.0:arm64	1:237-2build1
gir1.2-gweather-3.0:arm64	40.0-5build1
gir1.2-handy-1:arm64	1.6.1-1
gir1.2-harfbuzz-0.0:arm64	2.7.4-1ubuntu3.2
gir1.2-ibus-1.0:arm64	1.5.26-4
gir1.2-javascriptcoregtk-4.0:arm64	2.48.5-0ubuntu0.22.04.1
gir1.2-json-1.0:arm64	1.6.6-1build1
gir1.2-mutter-10:arm64	42.9-0ubuntu9
gir1.2-nm-1.0:arm64	1.36.6-0ubuntu2.1
gir1.2-nma-1.0:arm64	1.8.34-1ubuntu1
gir1.2-notify-0.7:arm64	0.7.9-3ubuntu5.22.04.1
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu3
gir1.2-pango-1.0:arm64	1.50.6+ds-2ubuntu1
gir1.2-peas-1.0:arm64	1.32.0-1
gir1.2-polkit-1.0	0.105-33
gir1.2-rb-3.0:arm64	3.4.4-5ubuntu1
gir1.2-rsvg-2.0:arm64	2.52.5+dfsg-3ubuntu0.2
gir1.2-secret-1:arm64	0.20.5-2
gir1.2-snapd-1:arm64	1.60-0ubuntu1
gir1.2-soup-2.4:arm64	2.74.2-3ubuntu0.6
gir1.2-totem-1.0:arm64	42.0-1ubuntu1
gir1.2-totemplparser-1.0:arm64	3.26.6-1build1
gir1.2-upowerglib-1.0:arm64	0.99.17-1
gir1.2-vte-2.91:arm64	0.68.0-1ubuntu0.1
gir1.2-webkit2-4.0:arm64	2.48.5-0ubuntu0.22.04.1
gir1.2-wnck-3.0:arm64	40.1-1
git	1:2.34.1-1ubuntu1.15
git-man	1:2.34.1-1ubuntu1.15
gjs	1.72.4-0ubuntu0.22.04.4
gkbd-capplet	3.26.1-2
glib-networking:arm64	2.72.0-1
glib-networking-common	2.72.0-1
glib-networking-services	2.72.0-1
glibc-tools	0.0~git3.23fd2b9-0ubuntu1
gnome-accessibility-themes	3.28-1ubuntu3
gnome-bluetooth	3.34.5-8
gnome-bluetooth-3-common	42.0-5
gnome-bluetooth-common	3.34.5-8
gnome-calculator	1:41.1-2ubuntu2
gnome-calendar	41.2-3
gnome-characters	41.0-4
gnome-control-center	1:41.7-0ubuntu0.22.04.9
gnome-control-center-data	1:41.7-0ubuntu0.22.04.9
gnome-control-center-faces	1:41.7-0ubuntu0.22.04.9
gnome-desktop3-data	42.9-0ubuntu1
gnome-disk-utility	42.0-1ubuntu1
gnome-font-viewer	41.0-2
gnome-initial-setup	42.0.1-1ubuntu2.3
gnome-keyring	40.0-3ubuntu3
gnome-keyring-pkcs11:arm64	40.0-3ubuntu3
gnome-logs	42.0-1
gnome-mahjongg	1:3.38.3-2
gnome-menus	3.36.0-1ubuntu3
gnome-mines	1:40.1-1
gnome-online-accounts	3.44.0-1ubuntu1
gnome-power-manager	3.32.0-2build2
gnome-remote-desktop	42.9-0ubuntu0.22.04.2
gnome-screenshot	41.0-2
gnome-session-bin	42.0-1ubuntu2
gnome-session-canberra	0.30-10ubuntu1.22.04.1
gnome-session-common	42.0-1ubuntu2
gnome-settings-daemon	42.1-1ubuntu2.2
gnome-settings-daemon-common	42.1-1ubuntu2.2
gnome-shell	42.9-0ubuntu2.3
gnome-shell-common	42.9-0ubuntu2.3
gnome-shell-extension-appindicator	42-2~fakesync1
gnome-shell-extension-desktop-icons-ng	43-2ubuntu1
gnome-shell-extension-ubuntu-dock	72~ubuntu5.22.04.3
gnome-software	41.5-2ubuntu2
gnome-software-common	41.5-2ubuntu2
gnome-software-plugin-snap	41.5-2ubuntu2
gnome-startup-applications	42.0-1ubuntu2
gnome-sudoku	1:42.0-1
gnome-system-monitor	42.0-1
gnome-terminal	3.44.0-1ubuntu1
gnome-terminal-data	3.44.0-1ubuntu1
gnome-themes-extra:arm64	3.28-1ubuntu3
gnome-themes-extra-data	3.28-1ubuntu3
gnome-todo	3.28.1-6ubuntu1
gnome-todo-common	3.28.1-6ubuntu1
gnome-user-docs	41.5-1ubuntu2
gnome-video-effects	0.5.0-1ubuntu1
gnupg	2.2.27-3ubuntu2.4
gnupg-l10n	2.2.27-3ubuntu2.4
gnupg-utils	2.2.27-3ubuntu2.4
gnupg2	2.2.27-3ubuntu2.4
google-mock:arm64	1.11.0-3
googletest	1.11.0-3
gpg	2.2.27-3ubuntu2.4
gpg-agent	2.2.27-3ubuntu2.4
gpg-wks-client	2.2.27-3ubuntu2.4
gpg-wks-server	2.2.27-3ubuntu2.4
gpgconf	2.2.27-3ubuntu2.4
gpgsm	2.2.27-3ubuntu2.4
gpgv	2.2.27-3ubuntu2.4
gpiod	1.6.3-1build1
graphicsmagick-libmagick-dev-compat	1.4+really1.3.38-1ubuntu0.1
graphviz	2.42.2-6ubuntu0.1
grep	3.7-1build1
grilo-plugins-0.3-base:arm64	0.3.14-1ubuntu2
groff-base	1.22.4-8build1
grub-common	2.06-2ubuntu7.2
gsettings-desktop-schemas	42.0-1ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu2
gsfonts	1:8.11+urwcyr1.0.7~pre44-4.5
gstreamer1.0-alsa:arm64	1.20.1-1ubuntu0.5
gstreamer1.0-clutter-3.0:arm64	3.0.27-2ubuntu1
gstreamer1.0-gl:arm64	1.20.1-1ubuntu0.5
gstreamer1.0-gtk3:arm64	1.20.3-0ubuntu1.4
gstreamer1.0-libav:arm64	1.20.3-0ubuntu1
gstreamer1.0-packagekit	1.2.5-2ubuntu3
gstreamer1.0-pipewire:arm64	0.3.48-1ubuntu3
gstreamer1.0-plugins-bad:arm64	1.20.3-0ubuntu1.1
gstreamer1.0-plugins-base:arm64	1.20.1-1ubuntu0.5
gstreamer1.0-plugins-base-apps	1.20.1-1ubuntu0.5
gstreamer1.0-plugins-good:arm64	1.20.3-0ubuntu1.4
gstreamer1.0-plugins-ugly:arm64	1.20.1-1
gstreamer1.0-pulseaudio:arm64	1.20.3-0ubuntu1.4
gstreamer1.0-tools	1.20.3-0ubuntu1.1
gstreamer1.0-x:arm64	1.20.1-1ubuntu0.5
gtk-update-icon-cache	3.24.33-1ubuntu2.2
gtk2-engines-murrine:arm64	0.98.2-3build2
gtk2-engines-pixbuf:arm64	2.24.33-2ubuntu2.1
guile-2.2-libs:arm64	2.2.7+1-6build2
gvfs:arm64	1.48.2-0ubuntu1
gvfs-backends	1.48.2-0ubuntu1
gvfs-common	1.48.2-0ubuntu1
gvfs-daemons	1.48.2-0ubuntu1
gvfs-fuse	1.48.2-0ubuntu1
gvfs-libs:arm64	1.48.2-0ubuntu1
gzip	1.10-4ubuntu4.1
haveged	1.9.14-1ubuntu1
hdf5-helpers	1.10.7+repack-4ubuntu2
hicolor-icon-theme	0.17-2
hostname	3.23ubuntu2
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
i2c-tools	4.3-2build1
ibus	1.5.26-4
ibus-data	1.5.26-4
ibus-gtk:arm64	1.5.26-4
ibus-gtk3:arm64	1.5.26-4
ibus-gtk4:arm64	1.5.26-4
ibus-table	1.16.7-1
ibverbs-providers:arm64	39.0-1
iccp-agent	0.2.8
icu-devtools	70.1-2
iio-sensor-proxy	3.3-0ubuntu6
im-config	0.50-2ubuntu22.04.1
init-system-helpers	1.62
initramfs-tools	0.140ubuntu13.5
initramfs-tools-bin	0.140ubuntu13.5
initramfs-tools-core	0.140ubuntu13.5
inputattach	1:1.7.1-1build2
iperf3	3.9-1+deb11u1build0.22.04.1
ipp-usb	0.9.20-1ubuntu0.22.04.2
iproute2	5.15.0-1ubuntu2
iptables	1.8.7-1ubuntu5.2
iputils-ping	3:20211215-1ubuntu0.1
isc-dhcp-client	4.4.1-2.3ubuntu2.4
isc-dhcp-server	4.4.1-2.3ubuntu2.4
iso-codes	4.9.0-1
iw	5.16-1build1
java-common	0.72build2
javascript-common	11+nmu1
jetson-gpio-common	2.1.7ubuntu1
kbd	2.3.0-3ubuntu4.22.04
kerneloops	0.12+git20140509-6ubuntu5
kexec-tools	1:2.0.22-2ubuntu2.22.04.2
keyboard-configuration	1.205ubuntu3
klibc-utils	2.0.10-4ubuntu0.1
kmod	29-1ubuntu1
krb5-multidev:arm64	1.19.2-2ubuntu0.7
language-pack-en	1:22.04+20240902
language-pack-en-base	1:22.04+20240902
language-selector-common	0.219.1
language-selector-gnome	0.219.1
laptop-detect	0.16
ldap-utils	2.5.19+dfsg-0ubuntu0.22.04.1
less	590-1ubuntu0.22.04.3
liba52-0.7.4:arm64	0.7.4-20
libaa1:arm64	1.4p5-50build1
libabsl20210324:arm64	0~20210324.2-2ubuntu0.2
libabw-0.1-1:arm64	0.1.3-1build3
libaccountsservice0:arm64	22.07.5-2ubuntu1.5
libacl1:arm64	2.3.1-1
libadwaita-1-0:arm64	1.1.7-0ubuntu0.22.04.1
libaec-dev:arm64	1.0.6-1
libaec0:arm64	1.0.6-1
libaio1:arm64	0.3.112-13build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-6build3
libalgorithm-merge-perl	0.08-3
libamd2:arm64	1:5.10.1+dfsg-4build1
libann0	1.1.2+doc-7build1
libao-common	1.2.2+20180113-1.1ubuntu3
libao4:arm64	1.2.2+20180113-1.1ubuntu3
libaom-dev:arm64	3.3.0-1ubuntu0.1
libaom3:arm64	3.3.0-1ubuntu0.1
libapparmor1:arm64	3.0.4-2ubuntu2.4
libappstream4:arm64	0.15.2-2
libapt-pkg6.0:arm64	2.4.14
libarchive13:arm64	3.6.0-1ubuntu1.5
libargon2-1:arm64	0~20171227-0.3
libarmadillo-dev	1:10.8.2+dfsg-1
libarmadillo10	1:10.8.2+dfsg-1
libarpack2:arm64	3.8.0-1
libarpack2-dev:arm64	3.8.0-1
libasan6:arm64	11.4.0-1ubuntu1~22.04.2
libasio-dev	1:1.18.1-1
libasound2:arm64	1.2.6.1-1ubuntu1
libasound2-data	1.2.6.1-1ubuntu1
libasound2-dev:arm64	1.2.6.1-1ubuntu1
libasound2-plugins:arm64	1.2.6-1
libaspell15:arm64	0.60.8-4build1
libass9:arm64	1:0.15.2-1
libassimp-dev:arm64	5.2.2~ds0-1
libassimp5:arm64	5.2.2~ds0-1
libassuan0:arm64	2.5.5-1build1
libasyncns0:arm64	0.8-6build2
libatasmart4:arm64	0.19-5build2
libatk-adaptor:arm64	2.38.0-3
libatk-bridge2.0-0:arm64	2.38.0-3
libatk-wrapper-java	0.38.0-5build1
libatk-wrapper-java-jni:arm64	0.38.0-5build1
libatk1.0-0:arm64	2.36.0-3build1
libatk1.0-data	2.36.0-3build1
libatkmm-1.6-1v5:arm64	2.28.2-1build1
libatomic1:arm64	12.3.0-1ubuntu1~22.04.2
libatopology2:arm64	1.2.6.1-1ubuntu1
libatspi2.0-0:arm64	2.44.0-3
libattr1:arm64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:arm64	1:3.0.7-1build1
libauthen-sasl-perl	2.1600-1.1
libavahi-client3:arm64	0.8-5ubuntu5.2
libavahi-common-data:arm64	0.8-5ubuntu5.2
libavahi-common3:arm64	0.8-5ubuntu5.2
libavahi-core7:arm64	0.8-5ubuntu5.2
libavahi-glib1:arm64	0.8-5ubuntu5.2
libavahi-ui-gtk3-0:arm64	0.8-5ubuntu5.2
libavc1394-0:arm64	0.5.4-5build2
libavcodec-dev:arm64	7:4.4.2-0ubuntu0.22.04.1
libavcodec58:arm64	7:4.4.2-0ubuntu0.22.04.1
libavfilter7:arm64	7:4.4.2-0ubuntu0.22.04.1
libavformat-dev:arm64	7:4.4.2-0ubuntu0.22.04.1
libavformat58:arm64	7:4.4.2-0ubuntu0.22.04.1
libavutil-dev:arm64	7:4.4.2-0ubuntu0.22.04.1
libavutil56:arm64	7:4.4.2-0ubuntu0.22.04.1
libayatana-appindicator3-1	0.5.90-7ubuntu2
libayatana-ido3-0.4-0:arm64	0.9.1-1
libayatana-indicator3-7:arm64	0.9.1-1
libbabeltrace1:arm64	1.5.8-2build1
libbasicobjects0:arm64	0.6.2-1
libbenchmark-dev:arm64	1.6.1-1
libbenchmark1:arm64	1.6.1-1
libbfb0	0.24-6build5
libbinutils:arm64	2.38-4ubuntu2.8
libblas3:arm64	3.10.0-2ubuntu1
libblkid-dev:arm64	2.37.2-4ubuntu3.4
libblkid1:arm64	2.37.2-4ubuntu3.4
libblockdev-crypto2:arm64	2.26-1ubuntu0.1
libblockdev-fs2:arm64	2.26-1ubuntu0.1
libblockdev-loop2:arm64	2.26-1ubuntu0.1
libblockdev-part-err2:arm64	2.26-1ubuntu0.1
libblockdev-part2:arm64	2.26-1ubuntu0.1
libblockdev-swap2:arm64	2.26-1ubuntu0.1
libblockdev-utils2:arm64	2.26-1ubuntu0.1
libblockdev2:arm64	2.26-1ubuntu0.1
libblosc-dev	1.21.1+ds2-2
libblosc1:arm64	1.21.1+ds2-2
libbluetooth3:arm64	5.64-0ubuntu1.4
libbluray2:arm64	1:1.3.1-1
libboost-all-dev	1.74.0.3ubuntu7
libboost-atomic-dev:arm64	1.74.0.3ubuntu7
libboost-atomic1.74-dev:arm64	1.74.0-14ubuntu3
libboost-atomic1.74.0:arm64	1.74.0-14ubuntu3
libboost-chrono-dev:arm64	1.74.0.3ubuntu7
libboost-chrono1.74-dev:arm64	1.74.0-14ubuntu3
libboost-chrono1.74.0:arm64	1.74.0-14ubuntu3
libboost-container-dev:arm64	1.74.0.3ubuntu7
libboost-container1.74-dev:arm64	1.74.0-14ubuntu3
libboost-container1.74.0:arm64	1.74.0-14ubuntu3
libboost-context-dev:arm64	1.74.0.3ubuntu7
libboost-context1.74-dev:arm64	1.74.0-14ubuntu3
libboost-context1.74.0:arm64	1.74.0-14ubuntu3
libboost-coroutine-dev:arm64	1.74.0.3ubuntu7
libboost-coroutine1.74-dev:arm64	1.74.0-14ubuntu3
libboost-coroutine1.74.0:arm64	1.74.0-14ubuntu3
libboost-date-time-dev:arm64	1.74.0.3ubuntu7
libboost-date-time1.74-dev:arm64	1.74.0-14ubuntu3
libboost-date-time1.74.0:arm64	1.74.0-14ubuntu3
libboost-dev:arm64	1.74.0.3ubuntu7
libboost-exception-dev:arm64	1.74.0.3ubuntu7
libboost-exception1.74-dev:arm64	1.74.0-14ubuntu3
libboost-fiber-dev:arm64	1.74.0.3ubuntu7
libboost-fiber1.74-dev:arm64	1.74.0-14ubuntu3
libboost-fiber1.74.0:arm64	1.74.0-14ubuntu3
libboost-filesystem-dev:arm64	1.74.0.3ubuntu7
libboost-filesystem1.74-dev:arm64	1.74.0-14ubuntu3
libboost-filesystem1.74.0:arm64	1.74.0-14ubuntu3
libboost-graph-dev:arm64	1.74.0.3ubuntu7
libboost-graph-parallel-dev	1.74.0.3ubuntu7
libboost-graph-parallel1.74-dev	1.74.0-14ubuntu3
libboost-graph-parallel1.74.0	1.74.0-14ubuntu3
libboost-graph1.74-dev:arm64	1.74.0-14ubuntu3
libboost-graph1.74.0:arm64	1.74.0-14ubuntu3
libboost-iostreams-dev:arm64	1.74.0.3ubuntu7
